eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:40,IYS:GoA2020:Stn7:trawl:occ:40:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,17,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7:trawl:occ:40,IYS:GoA2020:Stn7:trawl:occ:40:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.047,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:41,IYS:GoA2020:Stn8:trawl:occ:41:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,19,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:41,IYS:GoA2020:Stn8:trawl:occ:41:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.077,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:42,IYS:GoA2020:Stn8:trawl:occ:42:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:42,IYS:GoA2020:Stn8:trawl:occ:42:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.001,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:43,IYS:GoA2020:Stn8:trawl:occ:43:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:43,IYS:GoA2020:Stn8:trawl:occ:43:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.038,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:44,IYS:GoA2020:Stn8:trawl:occ:44:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:44,IYS:GoA2020:Stn8:trawl:occ:44:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.012,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:45,IYS:GoA2020:Stn8:trawl:occ:45:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,10,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:45,IYS:GoA2020:Stn8:trawl:occ:45:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.003,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8:trawl:occ:46,IYS:GoA2020:Stn8:trawl:occ:46:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
